Year,Month,Season,Season yr,Location,Treatment,Rep ,Phosphate,Total P,Ammonium
2017,June,Summer,Summer 2,Inflow,lagoon,2,0.16,1.05,0.561
2017,June,Summer,Summer 2,Inflow,lagoon,3,0.1,1.18,0.582
2017,June,Summer,Summer 2,Basin 1,wetland,1,1.75,1.06,3.173
2017,June,Summer,Summer 2,Basin 1,wetland,2,1.68,1,3.27
2017,June,Summer,Summer 2,Basin 1,wetland,3,1.68,0.92,3.189
2017,June,Summer,Summer 2,Basin 2,wetland,1,1.35,0.99,2.437
2017,June,Summer,Summer 2,Basin 2,wetland,2,1.39,0.98,2.501
2017,June,Summer,Summer 2,Basin 2,wetland,3,1.33,1.03,2.486
2017,June,Summer,Summer 2,Basin 3,wetland,1,1.3,1.18,2.501
2017,June,Summer,Summer 2,Basin 3,wetland,2,1.28,1.15,2.476
2017,June,Summer,Summer 2,Basin 3,wetland,3,1.27,1.23,2.522
2017,July,Summer,Summer 2,Lagoon C,lagoon,1,0.07,0.7,0
2017,July,Summer,Summer 2,Lagoon C,lagoon,2,0.08,0.79,0
2017,July,Summer,Summer 2,Lagoon C,lagoon,3,0.07,0.87,0
2017,July,Summer,Summer 2,Inflow,lagoon,1,0.08,0.53,0.004
2017,July,Summer,Summer 2,Inflow,lagoon,2,0.09,0.85,0.003
2017,July,Summer,Summer 2,Inflow,lagoon,3,0.09,0.79,0.001
2017,July,Summer,Summer 2,Basin 1,wetland,1,0.7,0.98,2.398
2017,July,Summer,Summer 2,Basin 1,wetland,2,0.65,0.92,2.248
2017,July,Summer,Summer 2,Basin 1,wetland,3,0.68,0.72,2.446
2017,July,Summer,Summer 2,Basin 2,wetland,1,0.52,0.64,1.984
2017,July,Summer,Summer 2,Basin 2,wetland,2,0.55,0.5,1.994
2017,July,Summer,Summer 2,Basin 2,wetland,3,0.55,0.69,1.998
2017,July,Summer,Summer 2,Basin 3,wetland,1,0.36,0.51,1.408
2017,July,Summer,Summer 2,Basin 3,wetland,2,0.39,0.37,1.407
2017,July,Summer,Summer 2,Basin 3,wetland,3,0.36,0.45,1.489
2017,August,Fall,Fall 2,Lagoon C,lagoon,1,0.21,5.76,1.864
2017,August,Fall,Fall 2,Lagoon C,lagoon,2,0.19,3.63,1.689
2017,August,Fall,Fall 2,Lagoon C,lagoon,3,0.21,5.76,1.638
2017,August,Fall,Fall 2,Inflow,lagoon,1,0.23,5.95,2.158
2017,August,Fall,Fall 2,Inflow,lagoon,2,0.2,5.18,2.034
2017,August,Fall,Fall 2,Inflow,lagoon,3,0.22,7.5,1.965
2017,August,Fall,Fall 2,Basin 1,wetland,1,0.32,1.82,0.587
2017,August,Fall,Fall 2,Basin 1,wetland,2,0.31,2.01,0.519
2017,August,Fall,Fall 2,Basin 1,wetland,3,0.34,3.07,0.61
2017,August,Fall,Fall 2,Basin 2,wetland,1,0.07,,0.391
2017,August,Fall,Fall 2,Basin 2,wetland,2,0.1,1.72,0.439
2017,August,Fall,Fall 2,Basin 2,wetland,3,0.11,1.43,0.475
2017,August,Fall,Fall 2,Basin 3,wetland,1,0.24,2.88,0.505
2017,August,Fall,Fall 2,Basin 3,wetland,2,0.22,2.3,1.56
2017,August,Fall,Fall 2,Basin 3,wetland,3,0.22,7.03,1.97
2017,October,Fall,Fall 2,Lagoon C,lagoon,1,0.43,5.79,
2017,October,Fall,Fall 2,Lagoon C,lagoon,2,0.47,3.59,
2017,October,Fall,Fall 2,Lagoon C,lagoon,3,0.45,3.59,
2017,October,Fall,Fall 2,Inflow,lagoon,1,0.42,2.37,
2017,October,Fall,Fall 2,Inflow,lagoon,2,0.46,2.69,
2017,October,Fall,Fall 2,Inflow,lagoon,3,0.45,3.03,
2017,October,Fall,Fall 2,Basin 1,wetland,1,0.45,0.7,
2017,October,Fall,Fall 2,Basin 1,wetland,2,0.48,0.83,
2017,October,Fall,Fall 2,Basin 1,wetland,3,0.46,1.05,
2017,October,Fall,Fall 2,Basin 2,wetland,1,0.31,1.52,
2017,October,Fall,Fall 2,Basin 2,wetland,2,0.34,3.95,
2017,October,Fall,Fall 2,Basin 2,wetland,3,0.27,,
2017,October,Fall,Fall 2,Basin 3,wetland,1,0.34,16.74,
2017,October,Fall,Fall 2,Basin 3,wetland,2,0.33,0.7,
2017,October,Fall,Fall 2,Basin 3,wetland,3,0.31,0.52,
2017,December,Winter,Winter 2,Lagoon C,lagoon,1,2.27,14.9,
2017,December,Winter,Winter 2,Lagoon C,lagoon,2,2.315,14.5,
2017,December,Winter,Winter 2,Lagoon C,lagoon,3,2.813,14.6,
2017,December,Winter,Winter 2,Inflow,lagoon,1,2.487,14.6,
2017,December,Winter,Winter 2,Inflow,lagoon,2,2.224,14.9,
2017,December,Winter,Winter 2,Inflow,lagoon,3,2.451,14.6,
2017,December,Winter,Winter 2,Basin 1,wetland,1,2.333,14.5,
2017,December,Winter,Winter 2,Basin 1,wetland,2,2.397,14.2,
2017,December,Winter,Winter 2,Basin 1,wetland,3,2.886,14.3,
2017,December,Winter,Winter 2,Basin 2,wetland,1,2.406,23,
2017,December,Winter,Winter 2,Basin 2,wetland,2,2.65,23.3,
2017,December,Winter,Winter 2,Basin 2,wetland,3,2.406,23.6,
2017,December,Winter,Winter 2,Basin 3,wetland,1,2.523,25.8,
2017,December,Winter,Winter 2,Basin 3,wetland,2,2.768,26.9,
2017,December,Winter,Winter 2,Basin 3,wetland,3,2.831,27.3,
2018,April,Spring,Spring 2,Lagoon C,lagoon,1,0.876,,2.878
2018,April,Spring,Spring 2,Lagoon C,lagoon,2,0.862,,2.768
2018,April,Spring,Spring 2,Lagoon C,lagoon,3,0.824,,7.939
2018,April,Spring,Spring 2,Inflow,lagoon,1,,,
2018,April,Spring,Spring 2,Inflow,lagoon,2,,,
2018,April,Spring,Spring 2,Inflow,lagoon,3,,,
2018,April,Spring,Spring 2,Basin 1,wetland,1,11.003,,0.074
2018,April,Spring,Spring 2,Basin 1,wetland,2,10.824,,0.095
2018,April,Spring,Spring 2,Basin 1,wetland,3,10.725,,0.021
2018,April,Spring,Spring 2,Basin 2,wetland,1,,,
2018,April,Spring,Spring 2,Basin 2,wetland,2,,,
2018,April,Spring,Spring 2,Basin 2,wetland,3,,,
2018,April,Spring,Spring 2,Basin 3,wetland,1,12.171,,0.111
2018,April,Spring,Spring 2,Basin 3,wetland,2,9.527,,0.013
2018,April,Spring,Spring 2,Basin 3,wetland,3,9.874,,0.104
2018,May,Spring,Spring 2,Basin 3,wetland,1,1.202,0.255,5.69
2018,May,Spring,Spring 2,Basin 3,wetland,2,2.718,0.229,5.75
2018,May,Spring,Spring 2,Basin 3,wetland,3,2.479,0.191,5.99
2018,May,Spring,Spring 2,Basin 2,wetland,1,0.485,0.171,5.16
2018,May,Spring,Spring 2,Basin 2,wetland,2,2.61,0.125,5.1
2018,May,Spring,Spring 2,Basin 2,wetland,3,0.756,0.13,4.68
2018,May,Spring,Spring 2,Basin 1,wetland,1,1.246,0.24,5.26
2018,May,Spring,Spring 2,Basin 1,wetland,2,0.557,0.163,5.29
2018,May,Spring,Spring 2,Basin 1,wetland,3,1.491,0.153,5.38
2018,May,Spring,Spring 2,Inflow,lagoon,1,0.469,0.352,3.76
2018,May,Spring,Spring 2,Inflow,lagoon,2,0.488,0.204,3.74
2018,May,Spring,Spring 2,Inflow,lagoon,3,0.265,0.484,3.77
2018,May,Spring,Spring 2,Lagoon C,lagoon,1,4.653,0.291,3.41
2018,May,Spring,Spring 2,Lagoon C,lagoon,2,2.305,0.372,3.67
2018,May,Spring,Spring 2,Lagoon C,lagoon,3,2.728,0.561,3.7
2018,June,Summer,Summer 3,Basin 3,wetland,1,0.525,0.327,0.983
2018,June,Summer,Summer 3,Basin 3,wetland,2,0.485,0.285,0.757
2018,June,Summer,Summer 3,Basin 3,wetland,3,0.486,0.349,0.81
2018,June,Summer,Summer 3,Basin 2,wetland,1,0.173,0.37,1.713
2018,June,Summer,Summer 3,Basin 2,wetland,2,0.218,0.344,1.726
2018,June,Summer,Summer 3,Basin 2,wetland,3,0.228,0.503,1.642
2018,June,Summer,Summer 3,Basin 1,wetland,1,0.071,0.421,1.815
2018,June,Summer,Summer 3,Basin 1,wetland,2,0.075,0.362,1.748
2018,June,Summer,Summer 3,Basin 1,wetland,3,0.085,0.387,1.76
2018,June,Summer,Summer 3,Inflow,lagoon,1,0.515,0.603,0.772
2018,June,Summer,Summer 3,Inflow,lagoon,2,0.514,0.373,1.004
2018,June,Summer,Summer 3,Inflow,lagoon,3,0.515,0.27,0.991
2018,June,Summer,Summer 3,Lagoon C,lagoon,1,0.247,0.364,0.253
2018,June,Summer,Summer 3,Lagoon C,lagoon,2,0.222,0.15,0.28
2018,June,Summer,Summer 3,Lagoon C,lagoon,3,0.252,0.313,0.382
2018,July,Summer,Summer 3,Basin 3,wetland,1,2.961,0.737,1.764
2018,July,Summer,Summer 3,Basin 3,wetland,2,3.282,0.824,0.879
2018,July,Summer,Summer 3,Basin 3,wetland,3,3.04,0.218,0.858
2018,July,Summer,Summer 3,Basin 2,wetland,1,3.332,1.112,1.327
2018,July,Summer,Summer 3,Basin 2,wetland,2,3.618,0.445,1.548
2018,July,Summer,Summer 3,Basin 2,wetland,3,4.046,0.41,1.625
2018,July,Summer,Summer 3,Basin 1,wetland,1,1.755,0.419,1.689
2018,July,Summer,Summer 3,Basin 1,wetland,2,3.018,0.292,1.546
2018,July,Summer,Summer 3,Basin 1,wetland,3,2.719,0.332,1.486
2018,July,Summer,Summer 3,Inflow,lagoon,1,0.15,0.899,0.561
2018,July,Summer,Summer 3,Inflow,lagoon,2,2.918,0.742,0.515
2018,July,Summer,Summer 3,Inflow,lagoon,3,0.039,0.916,0.506
2018,July,Summer,Summer 3,Lagoon C,lagoon,1,0.135,0.916,0.078
2018,July,Summer,Summer 3,Lagoon C,lagoon,2,0.01,0.776,0.07
2018,July,Summer,Summer 3,Lagoon C,lagoon,3,0.014,0.768,0.067
2018,September,Fall,Fall 3,Basin 3,wetland,1,0.681,0.362,3.147
2018,September,Fall,Fall 3,Basin 3,wetland,2,0.652,0.369,3.28
2018,September,Fall,Fall 3,Basin 3,wetland,3,0.659,0.332,3.207
2018,September,Fall,Fall 3,Basin 2,wetland,1,-0.037,0.32,2.953
2018,September,Fall,Fall 3,Basin 2,wetland,2,0.553,0.324,4.153
2018,September,Fall,Fall 3,Basin 2,wetland,3,0.659,0.308,1.926
2018,September,Fall,Fall 3,Basin 1,wetland,1,0.496,0.346,5.48
2018,September,Fall,Fall 3,Basin 1,wetland,2,0.644,0.381,6
2018,September,Fall,Fall 3,Basin 1,wetland,3,0.723,0.306,6.46
2018,September,Fall,Fall 3,Inflow,lagoon,1,0.719,0.618,0.634
2018,September,Fall,Fall 3,Inflow,lagoon,2,0.872,0.698,9.575
2018,September,Fall,Fall 3,Inflow,lagoon,3,0.479,0.749,9.979
2018,September,Fall,Fall 3,Lagoon C,lagoon,1,0.153,0.674,9.399
2018,September,Fall,Fall 3,Lagoon C,lagoon,2,0.405,0.62,9.942
2018,September,Fall,Fall 3,Lagoon C,lagoon,3,0.558,0.586,10.02
2019,Febuary 11,Winter,Winter 3,Basin 3,wetland,1,0.299,2.122,2.536
2019,Febuary 11,Winter,Winter 3,Basin 3,wetland,2,0.216,0.472,2.403
2019,Febuary 11,Winter,Winter 3,Basin 3,wetland,3,0.208,0.603,2.485
2019,Febuary 11,Winter,Winter 3,Basin 2,wetland,1,0.272,0.887,3.529
2019,Febuary 11,Winter,Winter 3,Basin 2,wetland,2,0.278,0.877,3.568
2019,Febuary 11,Winter,Winter 3,Basin 2,wetland,3,0.243,1.231,3.627
2019,Febuary 11,Winter,Winter 3,Basin 1,wetland,1,0.334,0.948,4.441
2019,Febuary 11,Winter,Winter 3,Basin 1,wetland,2,0.362,1.11,4.587
2019,Febuary 11,Winter,Winter 3,Basin 1,wetland,3,0.357,0.836,5.176
2019,Febuary 11,Winter,Winter 3,Inflow,lagoon,1,0.268,1.47,7.114
2019,Febuary 11,Winter,Winter 3,Inflow,lagoon,2,0.301,1.531,7.519
2019,Febuary 11,Winter,Winter 3,Inflow,lagoon,3,0.289,1.369,7.376
2019,Febuary 11,Winter,Winter 3,Lagoon C,lagoon,1,0.312,1.389,7.541
2019,Febuary 11,Winter,Winter 3,Lagoon C,lagoon,2,0.31,1.713,7.772
2019,Febuary 11,Winter,Winter 3,Lagoon C,lagoon,3,0.296,1.653,6.407
2019,Febuary 25,Winter,Winter 3,Basin 3,wetland,1,0.401,2.122,0.783
2019,Febuary 25,Winter,Winter 3,Basin 3,wetland,2,0.444,0.472,0.567
2019,Febuary 25,Winter,Winter 3,Basin 3,wetland,3,0.443,0.603,0.595
2019,Febuary 25,Winter,Winter 3,Basin 2,wetland,1,0.321,0.887,1.308
2019,Febuary 25,Winter,Winter 3,Basin 2,wetland,2,0.319,0.877,1.425
2019,Febuary 25,Winter,Winter 3,Basin 2,wetland,3,0.359,1.231,1.383
2019,Febuary 25,Winter,Winter 3,Basin 1,wetland,1,,0.948,3.178
2019,Febuary 25,Winter,Winter 3,Basin 1,wetland,2,0.448,1.11,3.429
2019,Febuary 25,Winter,Winter 3,Basin 1,wetland,3,0.485,0.836,3.614
2019,Febuary 25,Winter,Winter 3,Inflow,lagoon,1,0.344,1.47,7.695
2019,Febuary 25,Winter,Winter 3,Inflow,lagoon,2,0.333,1.531,7.521
2019,Febuary 25,Winter,Winter 3,Inflow,lagoon,3,0.349,1.369,7.847
2019,Febuary 25,Winter,Winter 3,Lagoon C,lagoon,1,0.373,1.389,8.002
2019,Febuary 25,Winter,Winter 3,Lagoon C,lagoon,2,0.427,1.713,8.349
2019,Febuary 25,Winter,Winter 3,Lagoon C,lagoon,3,0.362,1.653,8.912
2019,March,Spring,Spring 3,Basin 3,wetland,1,0.228,0.818,0.001
2019,March,Spring,Spring 3,Basin 3,wetland,2,0.208,0.474,0.006
2019,March,Spring,Spring 3,Basin 3,wetland,3,0.204,0.663,0
2019,March,Spring,Spring 3,Basin 2,wetland,1,0.173,0.698,0.035
2019,March,Spring,Spring 3,Basin 2,wetland,2,0.166,0.56,0.011
2019,March,Spring,Spring 3,Basin 2,wetland,3,0.148,1.007,0.019
2019,March,Spring,Spring 3,Basin 1,wetland,1,1.036,2.177,1.782
2019,March,Spring,Spring 3,Basin 1,wetland,2,0.888,2.091,1.237
2019,March,Spring,Spring 3,Basin 1,wetland,3,0.958,1.816,1.601
2019,March,Spring,Spring 3,Inflow,lagoon,1,0.537,1.292,5.33
2019,March,Spring,Spring 3,Inflow,lagoon,2,0.55,4.355,5.408
2019,March,Spring,Spring 3,Inflow,lagoon,3,0.548,2.428,5.07
2019,March,Spring,Spring 3,Lagoon C,lagoon,1,0.394,1.12,5.029
2019,March,Spring,Spring 3,Lagoon C,lagoon,2,0.527,2.703,4.197
2019,March,Spring,Spring 3,Lagoon C,lagoon,3,0.414,1.395,4.33
2019,April,Spring,Spring 3,Basin 3,wetland,1,0.655,,0.2284
2019,April,Spring,Spring 3,Basin 3,wetland,2,0.61,,0.2471
2019,April,Spring,Spring 3,Basin 3,wetland,3,0.689,,0.2686
2019,April,Spring,Spring 3,Basin 2,wetland,1,0.47,,0.2642
2019,April,Spring,Spring 3,Basin 2,wetland,2,0.476,,0.2721
2019,April,Spring,Spring 3,Basin 2,wetland,3,0.444,,0.251
2019,April,Spring,Spring 3,Basin 1,wetland,1,0.563,,0.498
2019,April,Spring,Spring 3,Basin 1,wetland,2,0.466,,0.743
2019,April,Spring,Spring 3,Basin 1,wetland,3,0.542,,0.6468
2019,April,Spring,Spring 3,Inflow,lagoon,1,0.502,,2.666
2019,April,Spring,Spring 3,Inflow,lagoon,2,0.482,,3.02
2019,April,Spring,Spring 3,Inflow,lagoon,3,0.502,,2.434
2019,April,Spring,Spring 3,Lagoon C,lagoon,1,0.459,,2.346
2019,April,Spring,Spring 3,Lagoon C,lagoon,2,0.443,,2.132
2019,April,Spring,Spring 3,Lagoon C,lagoon,3,0.484,,2.112
2019,June,Summer,Summer 4,Basin 3,wetland,1,0.237,0.769,2.107
2019,June,Summer,Summer 4,Basin 3,wetland,2,0.188,0.695,1.814
2019,June,Summer,Summer 4,Basin 3,wetland,3,0.183,0.897,1.814
2019,June,Summer,Summer 4,Basin 2,wetland,1,0.259,5.441,4.408
2019,June,Summer,Summer 4,Basin 2,wetland,2,0.261,3.466,4.386
2019,June,Summer,Summer 4,Basin 2,wetland,3,0.268,2.171,4.351
2019,June,Summer,Summer 4,Basin 1,wetland,1,0.198,1.544,4.164
2019,June,Summer,Summer 4,Basin 1,wetland,2,0.207,2.85,2.734
2019,June,Summer,Summer 4,Basin 1,wetland,3,0.558,5.484,3.022
2019,June,Summer,Summer 4,Inflow,lagoon,1,0.253,2.203,2.834
2019,June,Summer,Summer 4,Inflow,lagoon,2,0.278,0.907,2.857
2019,June,Summer,Summer 4,Inflow,lagoon,3,0.252,0.875,2.806
2019,June,Summer,Summer 4,Lagoon C,lagoon,1,0.186,4.868,2.405
2019,June,Summer,Summer 4,Lagoon C,lagoon,2,0.181,3.307,2.329
2019,June,Summer,Summer 4,Lagoon C,lagoon,3,0.141,5.961,2.301
2019,Sept,Fall,Fall 4,Basin 3,wetland,1,0.473,0.501,0.2284
2019,Sept,Fall,Fall 4,Basin 3,wetland,2,0.463,1.749,0.2471
2019,Sept,Fall,Fall 4,Basin 3,wetland,3,0.44,1.068,0.2686
2019,Sept,Fall,Fall 4,Basin 2,wetland,1,0.66,1.144,0.2642
2019,Sept,Fall,Fall 4,Basin 2,wetland,2,0.639,1.031,0.2721
2019,Sept,Fall,Fall 4,Basin 2,wetland,3,0.637,0.804,0.251
2019,Sept,Fall,Fall 4,Basin 1,wetland,1,0.858,10.631,0.498
2019,Sept,Fall,Fall 4,Basin 1,wetland,2,0.926,13.276,0.743
2019,Sept,Fall,Fall 4,Basin 1,wetland,3,0.878,,0.6468
2019,Sept,Fall,Fall 4,Inflow,lagoon,1,0.618,9.998,2.666
2019,Sept,Fall,Fall 4,Inflow,lagoon,2,0.642,7.882,3.02
2019,Sept,Fall,Fall 4,Inflow,lagoon,3,0.621,5.236,2.434
2019,Sept,Fall,Fall 4,Lagoon C,lagoon,1,0.491,4.102,2.346
2019,Sept,Fall,Fall 4,Lagoon C,lagoon,2,0.492,3.573,2.132
2019,Sept,Fall,Fall 4,Lagoon C,lagoon,3,0.466,4.631,2.112
2020,June,Summer,Summer 5,Basin 3,wetland,1,0.508,0.974,0.38
2020,June,Summer,Summer 5,Basin 3,wetland,2,0.531,0.814,0.32
2020,June,Summer,Summer 5,Basin 3,wetland,3,0.536,0.674,0.3
2020,June,Summer,Summer 5,Basin 2,wetland,1,0.619,0.999,2.12
2020,June,Summer,Summer 5,Basin 2,wetland,2,0.615,0.895,2.11
2020,June,Summer,Summer 5,Basin 2,wetland,3,0.679,0.856,3.07
2020,June,Summer,Summer 5,Basin 1,wetland,1,0.65,0.944,3.27
2020,June,Summer,Summer 5,Basin 1,wetland,2,0.668,0.927,3.13
2020,June,Summer,Summer 5,Basin 1,wetland,3,0.627,0.941,1.65
2020,June,Summer,Summer 5,Inflow,lagoon,1,0.202,0.525,2.13
2020,June,Summer,Summer 5,Inflow,lagoon,2,0.197,0.558,2.15
2020,June,Summer,Summer 5,Inflow,lagoon,3,0.207,0.626,2.09
2020,June,Summer,Summer 5,Lagoon C,lagoon,1,0.129,1.39,4.98
2020,June,Summer,Summer 5,Lagoon C,lagoon,2,0.299,1.383,2.53
2020,June,Summer,Summer 5,Lagoon C,lagoon,3,0.166,0.852,3.6
2020,July,Summer,Summer 5,Basin 3,wetland,1,0.6,0.675,2.22
2020,July,Summer,Summer 5,Basin 3,wetland,2,0.604,0.633,2.18
2020,July,Summer,Summer 5,Basin 3,wetland,3,0.604,0.633,2.17
2020,July,Summer,Summer 5,Basin 2,wetland,1,0.633,0.856,0.77
2020,July,Summer,Summer 5,Basin 2,wetland,2,0.631,0.786,0.99
2020,July,Summer,Summer 5,Basin 2,wetland,3,0.756,0.786,1.26
2020,July,Summer,Summer 5,Basin 1,wetland,1,0.665,0.709,0.16
2020,July,Summer,Summer 5,Basin 1,wetland,2,0.645,0.563,0.21
2020,July,Summer,Summer 5,Basin 1,wetland,3,0.714,0.626,0.28
